"","ID","Sex","Race","Age","Range","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","choice","choice_number","global","local","GminusL","LG_group"
"86","blg013","M","White",5,"5",16,16,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,19,5,14,"global"
"87","blg013","M","White",5,"5",17,17,"1_R.png","1_R.png","z","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"global",1,19,5,14,"global"
"88","blg013","M","White",5,"5",18,18,"6_R.png","2_R.png","z","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"global",1,19,5,14,"global"
"89","blg013","M","White",5,"5",19,19,"11.png","3.png","m","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"global",1,19,5,14,"global"
"90","blg013","M","White",5,"5",20,20,"12_R.png","4_R.png","m","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"global",1,19,5,14,"global"
"91","blg013","M","White",5,"5",21,21,"10.png","4.png","m","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"global",1,19,5,14,"global"
"92","blg013","M","White",5,"5",22,22,"1.png","1.png","m","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"global",1,19,5,14,"global"
"93","blg013","M","White",5,"5",23,23,"8_R.png","2_R.png","m","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"global",1,19,5,14,"global"
"94","blg013","M","White",5,"5",24,24,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,19,5,14,"global"
"95","blg017","M","White",6,"5",1,1,"3_R.png","1_R.png","z","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"96","blg017","M","White",6,"5",2,2,"12_R.png","4_R.png","z","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,0,24,-24,"local"
