"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","vowel_type","congruent","voicing","consonant_type"
"16","bouba-kiki","sound/lili.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"17","bouba-kiki","sound/DADA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/a/","congruent","voiced","stop"
"18","bouba-kiki","sound/LALA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","voiced","sonorant"
"19","bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"20","bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/a/","congruent","voiced","sonorant"
"21","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","stop"
"22","bouba-kiki","sound/didi.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/i/","incongruent","voiced","stop"
"23","bouba-kiki","sound/mimi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/i/","incongruent","voiced","sonorant"
"24","bouba-kiki","sound/FAFA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/a/","congruent","unvoiced","fricative"
"25","bouba-kiki","sound/didi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","voiced","stop"
"26","bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/a/","congruent","unvoiced","fricative"
"27","bouba-kiki","sound/mimi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/i/","incongruent","voiced","sonorant"
"28","bouba-kiki","sound/titi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"29","bouba-kiki","sound/MAMA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"30","bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",0,"angular","/a/","incongruent","voiced","fricative"
