"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"57",9,9,"10_R.png","4_R.png","z","blg008","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"58",10,10,"2.png","2.png","m","blg008","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"59",11,11,"3.png","1.png","z","blg008","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"60",12,12,"9_R.png","3_R.png","m","blg008","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"61",13,13,"6_R.png","2_R.png","z","blg008","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"62",14,14,"3_R.png","1_R.png","m","blg008","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"63",15,15,"2_R.png","2_R.png","z","blg008","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"64",16,16,"8.png","2.png","z","blg008","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"65",17,17,"5.png","1.png","m","blg008","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"66",18,18,"12_R.png","4_R.png","z","blg008","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","local",0
"67",19,19,"8_R.png","2_R.png","m","blg008","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"68",20,20,"4.png","2.png","z","blg008","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"69",21,21,"11.png","3.png","m","blg008","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"70",22,22,"1.png","1.png","m","blg008","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"71",23,23,"9.png","3.png","z","blg008","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"72",24,24,"5_R.png","1_R.png","z","blg008","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"73",2,2,"1.png","1.png","z","blg009","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"74",3,3,"11_R.png","3_R.png","m","blg009","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"75",4,4,"10_R.png","4_R.png","m","blg009","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"76",5,5,"9_R.png","3_R.png","z","blg009","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"77",6,6,"5_R.png","1_R.png","m","blg009","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"78",7,7,"4_R.png","2_R.png","z","blg009","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"79",8,8,"12_R.png","4_R.png","z","blg009","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"80",9,9,"9.png","3.png","m","blg009","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","local",0
"81",10,10,"6.png","2.png","z","blg009","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"82",11,11,"2.png","2.png","z","blg009","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"83",12,12,"12.png","4.png","m","blg009","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","local",0
"84",13,13,"11.png","3.png","z","blg009","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","local",0
"85",14,14,"4.png","2.png","m","blg009","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"86",15,15,"1_R.png","1_R.png","m","blg009","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"87",16,16,"2_R.png","2_R.png","m","blg009","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"88",17,17,"5.png","1.png","z","blg009","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"89",19,19,"3_R.png","1_R.png","m","blg009","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","global",1
"90",20,20,"7.png","1.png","m","blg009","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"91",21,21,"3.png","1.png","m","blg009","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"92",22,22,"8_R.png","2_R.png","m","blg009","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","global",1
"93",23,23,"6_R.png","2_R.png","m","blg009","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"94",24,24,"10.png","4.png","m","blg009","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","global",1
"95",1,1,"6.png","2.png","z","blg010","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"96",2,2,"6_R.png","2_R.png","m","blg010","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"97",3,3,"8_R.png","2_R.png","z","blg010","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"98",4,4,"4_R.png","2_R.png","z","blg010","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"99",5,5,"7.png","1.png","m","blg010","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"100",6,6,"1_R.png","1_R.png","m","blg010","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"101",7,7,"10_R.png","4_R.png","m","blg010","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","local",0
"102",8,8,"3_R.png","1_R.png","z","blg010","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"103",9,9,"5_R.png","1_R.png","m","blg010","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"104",10,10,"7_R.png","1_R.png","z","blg010","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"105",11,11,"8.png","2.png","m","blg010","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"106",12,12,"5.png","1.png","z","blg010","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"107",13,13,"4.png","2.png","m","blg010","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"108",14,14,"2_R.png","2_R.png","m","blg010","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"109",15,15,"10.png","4.png","z","blg010","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","local",0
"110",16,16,"12_R.png","4_R.png","z","blg010","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","local",0
"111",17,17,"9.png","3.png","m","blg010","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","local",0
"112",18,18,"3.png","1.png","m","blg010","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"113",19,19,"11_R.png","3_R.png","m","blg010","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","local",0
"114",20,20,"11.png","3.png","z","blg010","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","local",0
"115",21,21,"1.png","1.png","z","blg010","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"116",22,22,"12.png","4.png","m","blg010","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","local",0
"117",23,23,"2.png","2.png","z","blg010","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"118",24,24,"9_R.png","3_R.png","z","blg010","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","local",0
"119",1,1,"5_R.png","1_R.png","m","blg011","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"120",2,2,"9.png","3.png","m","blg011","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","local",0
"121",3,3,"3.png","1.png","m","blg011","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"122",4,4,"7.png","1.png","m","blg011","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"123",5,5,"2.png","2.png","z","blg011","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
